Classificação;Segmento;Faixas de experiência;Dia da Semana;Dia;Mês;Ano;Hora;Descrição;Estado;Dias Perdidos;Dias Debitados;Reabilitado;Dias Perdidos Corrigidos;Agente Causador;Gravidade;Potencial;Grau de Risco;Compromissos (Regra de Ouro);Evento_Crítico_Target
Típico sem afastamento;CSC;Até 6 meses;Segunda - feira;4;8;2025;07:00 - 08:00;Ao movimentar, pela alça, a leiteira do fogão para a pia, a alça se desprendeu e derrubou leite em sua perna direita, na região da coxa e joelho, vindo a causar vermelhidão;SP;N/A;N/A;Não;;Queimadura;Baixo;11;Médio;2 - Percepção de Risco;Não
Típico com afastamento;Transmissão;Até 6 meses;Terça- feira;22;7;2025;08:00 - 09:00;Durante atividade do roço manual pela equipe contratada da SPP, funcionário foi atacado repentinamente por enxame de abelhas, sendo picado em várias partes do corpo. De imediato, tomou um antialérgico e foi conduzido para uma UPA, onde está sob observação.;CE;2;;;;Animal;Médio;10;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;Transmissão;Até 6 meses;Quarta - feira;29;10;2025;12:00 - 13:00;Funcionário levou ferroada de abelha após conclusão das atividades de reisolamento da estrutura 217/2 da 05L6 PAQ/AGD;PE;;;;;Animal;Baixo;15;Baixo;Outros;Não
Típico com afastamento;Transmissão;Até 6 meses;Quarta - feira;29;10;2025;11:00 - 12:00;Durante corte de uma árvore envolta por cipós, houve rebote após o desprendimento do tronco, ocasionando golpe direto sobre o pé esquerdo do trabalhador.;SP;5;0;Não;;;Médio;9;Médio;2 - Percepção de Risco;Não
Típico com afastamento;Transmissão;Até 6 meses;Segunda - feira;28;8;2023;10:00 - 11:00;O empregado terceirizado da DMF realizava atividade de reisolamento. Quando estava na parte superior da torre de transmissão, apoiou o joelho direito na trave para movimentar a escada e posicioná-la no local desejado, logo fez esforço excessivo ocasionando a lesão no joelho. O encarregado da equipe perguntou se ele conseguia descer, ele afirmou que sim e foi substituído por outro eletricista.;CE;3;0;Não;0;Impacto de pessoa contra objeto parado;Médio;11;Médio;3 - Trabalho em Altura;Não
Típico com afastamento;Expansão;Até 6 meses;Terça- feira;28;11;2023;09:00 - 10:00;Empregado terceirizado realizava atividade de escavação manual para o desvio de um ramal de drenagem, a uma profundidade média de 80cm, a parte superior do aterro compactado (que fica acima da camada de areia que envolve o dreno) cedeu e atingiu a perna direita do colaborador (na altura do joelho).;PI;3;0;Não;0;Outros;Médio;11;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;Transmissão;6 meses a 1 ano;Domingo;30;6;2024;13:00 - 14:00;Durante a realização de manobras padrões na chave 32A1-8 houve a incidência de arco elétrico intrínseco a abertura de qualquer tipo de chave seccionadora que conecta reator de aterramento ao sistema elétrico. Após a manobra, o Técnico de O&M da SE CPE informou um incômodo na sua visão (sensação de clarão).;CE;3;0;Sim;0;Eletricidade;Baixo;14;Baixo;4 - Eletricidade;Não
Típico com afastamento;CSC;Até 6 meses;Quinta - feira;26;9;2024;09:00 - 10:00;Choque elétrico ao retirar um transformador 220/127V da tomada, cujo cabo de força permaneceu conectado, com partes vivas energizadas;MT;1;0;Não;;Eletricidade;Médio;4;Alto;4 - Eletricidade;Sim
Quase Acidente;Geração - Hidráulica;6 meses a 1 ano;Quarta - feira;29;5;2024;19:00 - 20:00 ;O funcionário próprio estava se deslocando da Eletrobras Chesf para a sua residência utilizando sua motocicleta, quando trafegava pela BR 232, na altura do bairro Vila Rica, município de Jaboatão dos Guararapes/ PE, sofreu uma colisão traseira. Com o impacto, o funcionário sofreu uma queda da moto em direção ao acostamento, sofrendo assim escoriações leves. O veículo causador evadiu-se do local. Neste momento foi ajudado por outras pessoas que lhe prestaram o apoio local, sendo posteriormente conduzido à sua residência por familiares. Não buscou atendimento médico.;PE;;;;;Moto - Colisão;;7;Alto;8 - Veículos e Equipamentos Móveis;Sim
Típico sem afastamento;Transmissão;1 a 3 anos;Segunda - feira;11;3;2024;06:00 - 07:00;No deslocamento para intervenção de troca de isoladores na Linha de Transmissão 04V1 CGDPRS a ser realizada em estrutura no município de Barra de Santa Rosa, a equipe da REAL ENERGY parou para comprar água mineral no posto de combustível no município de Remigio/PB.  No posto de combustível ao abrir o garrafão com uma faca, o funcionário veio a se cortar entre o polegar e o indicador da mão esquerda. ;PB;4;0;Sim;0;Ferramenta Manual;Baixo;14;Baixo;Outros;Não
Trajeto com afastamento;CSC;Até 6 meses;Quinta - feira;23;1;2025;07:00 - 08:00;A colaboradora Karolainy informou que pela manhã, por volta 6:54, estava realizando o percurso para o trabalho de moto, na Avenida santos Dumont e após o semáforo abrir, ao fazer a curva para esquerda sentido Paraviana, a moto derrapou levando-a cair no chão.;RR;1;0;Não;0;Moto - Queda;Baixo;11;Médio;8 - Veículos e Equipamentos Móveis;Não
Trajeto sem afastamento;CSC;1 a 3 anos;Sexta-feira;7;2;2025;12:00- 13:00;Os colaboradores estavam indo para o almoço de moto, sentido Tucuruí, quando o pneu traseiro da motocicleta estourou e veio a desiquilibrar e derrubar os dois.;PA;0;0;Não;0;Moto - Queda;Baixo;15;Baixo;8 - Veículos e Equipamentos Móveis;Não
Trajeto com afastamento;CSC;Até 6 meses;Quarta - feira;12;2;2025;12:00- 13:00;Colaborador foi atropelado por uma moto ao atravessar a rua próximo ao prédio;RJ;4;0;Não;;Moto - Atropelamento;Baixo;14;Baixo;8 - Veículos e Equipamentos Móveis;Não
Típico sem afastamento;CSC;6 meses a 1 ano;Terça- feira;8;4;2025;10:00 - 11:00;Informo que um colaborador da empresa LS construções e comércio, estava executando a atividade de retirada de matérias juntos a equipe da Logística nos galpões que seram reformados para a modernização da casa de força 1, quando durante a execução da atividade acabou pisando em um prego que perfurou a bota e atingiu o dedo;PA;0;0;Não;0;Atingido por (pontos agudos ou cortantes);Baixo;15;Baixo;2 - Percepção de Risco;Não
Trajeto com afastamento;CSC;6 meses a 1 ano;Quinta - feira;2;6;2025;06:00 - 07:00;"Colaborador terceirizado estava em deslocamento para a Subestação CGD-11, localizada nas proximidades do viaduto Milton Ramos, na saída da Camipão, no município de Campina Grande/PB.
O trajeto estava sendo realizado na garupa de uma motocicleta de aplicativo (Moto Uber), modelo 300 cilindradas. Durante uma parada no trânsito, o piloto — que apresentava dificuldade para apoiar os pés de forma estável ao solo, em função da altura da moto — perdeu o equilíbrio, ocasionando o tombamento do veículo e, consequentemente, a queda do condutor e do colaborador.
Na queda, o colaborador sofreu impacto com o joelho direito contra o meio-fio/calçada, levantando-se logo em seguida e dando continuidade ao deslocamento. No entanto, devido ao incômodo persistente, o colaborador comunicou o ocorrido ao seu líder imediato e foi encaminhado ao hospital, onde foi devidamente avaliado e atendido.";PB;3;;;;Moto - Queda;Médio;9;Médio;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;CSC;3 a 6 anos;Quarta - feira;11;6;2025;11:00 - 12:00;Colisão lateral entre veículos durante manobra de retorno, resultando em danos materiais à lateral e ao para-choque do veículo. Não houve lesões.;SP;N/A;N/A;;N/A;;;14;Baixo;8 - Veículos e Equipamentos Móveis;Não
Desvio Crítico;CSC;Até 6 meses;Segunda - feira;10;11;2025;14:00 - 15:00;: Colaborador acessou a cobertura do galpão sem o uso do cinto de segurança. ;PI;;;;;Outros;;4;Alto;3 - Trabalho em Altura;Sim
Desvio Crítico;CSC;1 a 3 anos;Quinta - feira;2;4;2025;15:00 - 16:00;Funcionário estava fumando dentro da subestação ao lado do reator.;RR;;;;;;;15;Baixo;2 - Percepção de Risco;Não
Típico sem afastamento;Expansão;1 a 3 anos;Sábado;9;8;2025;15:00 - 16:00;Durante o lançamento do segundo circuito do cabo para-raios, o cabo saltou do gorne do conjunto de polias do freio (tensionador). O colaborador L. J. A., ao tentar reposicioná-lo inadvertidamente com utilização do pé, teve aquele membro esquerdo preso entre o cabo e o gorne da polia.;CE;-;-;Não;-;Apanhado em (agarrado, pendurado);Baixo;7;Alto;11 - Não se Aplica;Sim
Trajeto com afastamento;CSC;Até 6 meses;Quarta - feira;1;10;2025;06:00 - 07:00;O colaborador da RP Engenharia, vindo de sua residência de motocicleta pela rodovia Bunjiro Nakao, em uma rotatória, colidiu com o veículo parado a sua  frente vindo a cair;SP;;;;;;Médio;10;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico sem afastamento;Expansão;1 a 3 anos;Domingo;9;11;2025;06:00 - 07:00;Durante a atividade de ancoragem provisória da estrutura 35/1, o colaborador realizava ajustes no posicionamento dos cabos condutores ancorados ao solo, operando o tirfor. Constatou-se que havia desalinhamento nos estropos de aço conectados à chapa de ancoragem provisória e, durante o processo de acomodação, ocorreu destorção, provocando alívio súbito de carga no sistema. Esse desbalanceamento resultou no giro brusco do tirfor, atingindo o pé esquerdo do colaborador.;BA;-;-;Não;-;Golpeado por (atingido por objeto em movimento);Baixo;11;Médio;2 - Percepção de Risco;Não
Trajeto sem afastamento;Adm;Até 6 meses;Quinta - feira;16;11;2023;17:00 - 18:00;Após saída do local subestação da Eletronorte, a empregada pegou carona com seu pai em uma moto. Ao entrar em uma ponte, o piloto deu passagem para uma outra motocicleta e essa ao ultrapassar, fechou a moto que estava a empregada e ambas colidiram.;PA;;0;Não;0;Moto - Colisão;Médio;10;Médio;8 - Veículos e Equipamentos Móveis;Não
Quase Acidente;Transmissão;6 meses a 1 ano;Sexta-feira;1;12;2023;14:00 - 15:00;Durante transporte de colaboradores, houve quebra do diferencial traseiro, causando pequenos danos materiais.;SP;N/A;N/A;;N/A;;;7;Alto;8 - Veículos e Equipamentos Móveis;Sim
Quase Acidente;Geração - Hidráulica;1 a 3 anos;Quinta - feira;21;11;2024;04:00 - 05:00;Ao manobrar para estacionar o veículo, passou por cima de uma tampa metálica que levantou e quebrou o para-choque dianteiro;MG;N/A;N/A;;N/A;;;15;Baixo;8 - Veículos e Equipamentos Móveis;Não
Típico sem afastamento;Expansão;Até 6 meses;Terça- feira;12;3;2024;10:00 - 11:00;Empregado terceirizado ao realizar a atividade de montagem das guias de ar inferiores da unidade 01G3, na realização da sustentação manual da peça, uma das guias se deslocou provocando o choque do cotovelo direito do empregado contra o batente da estrutura de concreto, causando luxação.;BA;3;0;Sim;0;Impacto de pessoa contra objeto parado;Baixo;11;Médio;Outros;Não
Quase Acidente;Geração - Hidráulica;1 a 3 anos;Sexta-feira;9;8;2024;15:00 - 16:00;Durante deslocamento no sentido UHE Santo Antônio para Porto Velho, o colaborador teve uma distração e colidiu com as estacas de madeira instaladas no canteiro central que fica entre as vias.;RO;N/A;N/A;;N/A;;Baixo;15;Baixo;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;Transmissão;6 meses a 1 ano;Quinta - feira;4;7;2024;11:00 - 12:00;Durante o serviço de supressão de vegetação no trecho de uma LT, ocorreu um ricocheteamento de um pedaço da galha da árvore na testa do empregado contratado, após a referida galha vir ao solo e ricochetear pois estava tracionada para guiar a queda.;AL;1;0;Não;0;Atingido por (pontos agudos ou cortantes);Médio;10;Médio;Outros;Não
Quase Acidente;Expansão;1 a 3 anos;Terça- feira;27;8;2024;10:00 - 11:00;No momento em que o colaborador foi realizar o acionamento de uma bomba, no piso 04, ao lado da máquina 01, ele recebeu uma descarga elétrica na carcaça do painel onde a bomba estava ligada. Colaborador está bem, sem lesões.;BA;N/A;-;Não;-;Outros;;7;Alto;4 - Eletricidade;Sim
Trajeto com afastamento;Geração - Hidráulica;6 meses a 1 ano;Segunda - feira;8;7;2024;07:00 - 08:00;Durante o deslocamento da casa para o trabalho, nas proximidades de uma rotatória, o colaborador sofreu queda de moto ao derrapar na via. ;PA;2;0;Não;;Moto - Queda;Médio;13;Médio;8 - Veículos e Equipamentos Móveis;Não
Típico com afastamento;CSC;Até 6 meses;Terça- feira;14;1;2025;10:00 - 11:00;A colaboradora DSOR sofreu uma queda com diferença nível pisando em falso durante deslocamento ao redor do prédio da gerência da SE Rio Branco ao acompanhar atividades de reparos e limpeza no forro e cobertura da edificação.;AC;2;0;Não;0;Calçada ou caminho para pedrestre - superfície utilizada para sustentar pessoas;Médio;11;Médio;2 - Percepção de Risco;Não
Típico sem afastamento;Geração - Hidráulica;6 meses a 1 ano;Quinta - feira;30;1;2025;15:00 - 16:00;Colaborador realizava manutenção na câmera de segurança da turbina, quando a grade girou e a tampa atingiu a boca, causando lesão;RO;N/A;N/A;;N/A;Golpeado por (atingido por objeto em movimento);Baixo;15;Baixo;2 - Percepção de Risco;Não
